"iWine","Barcode","Location","Bin","Size","Valuation","Price","StoreName","PurchaseDate","BottleNote","Vintage","Wine","Locale","Country","Region","SubRegion","Appellation","Producer","SortProducer","Type","Color","Category","Varietal","MasterVarietal","Designation","Vineyard","WA","WS","IWC","BH","AG","WE","JR","RH","JG","GV","JK","LD","CW","WFW","PR","SJ","WD","RR","JH","MFW","WWR","IWR","CHG","TT","CT","MY","BeginConsume","EndConsume"
"2206313","69757079","Cellar","A01","750ml","30.025","28.9","Winery","11/7/2015","","2013","Kramer Vineyards Carmine","USA, Oregon, Willamette Valley","USA","Oregon","Willamette Valley","Willamette Valley","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Carmine","Carmine","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2206313","69757080","Cellar","A01","750ml","30.025","28.9","Winery","11/7/2015","","2013","Kramer Vineyards Carmine","USA, Oregon, Willamette Valley","USA","Oregon","Willamette Valley","Willamette Valley","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Carmine","Carmine","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1588292","55489136","Cellar","A02","750ml","34","34","Winery","5/17/2014","","2011","Kramer Vineyards Pinot Noir Rebecca's Reserve","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Rebecca's Reserve","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1702850","57775295","Cellar","A03","750ml","21.74","18.7","Winery","9/1/2014","","2011","Kramer Vineyards Pinot Noir Estate","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Estate","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","89","","2015","2018"
"1702850","57775296","Cellar","A03","750ml","21.74","18.7","Winery","9/1/2014","","2011","Kramer Vineyards Pinot Noir Estate","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Estate","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","89","","2015","2018"
"785736","23648853","Cellar","A04","750ml","33.306","39.95","Winery","11/26/2010","","2008","Stag Hollow Pinot Noir Reserve 777/114","USA, Oregon, Yamhill County","USA","Oregon","Unknown","Yamhill County","Stag Hollow","Stag Hollow","Red","Red","Dry","Pinot Noir","Pinot Noir","Reserve 777/114","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","91.25","","2012","2023"
"1803557","55795691","Cellar","A05","750ml","28.875","35","Winery","5/31/2014","","2012","Seven of Hearts Pinot Noir Durant","USA, Oregon, Willamette Valley, Dundee Hills","USA","Oregon","Willamette Valley","Dundee Hills","Seven of Hearts","Seven of Hearts","Red","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Durant","","","","","","","","","","","","","","","","","","","","","","","","","90","","",""
"2048874","63168827","Cellar","A06","750ml","35.54","35.7","Winery","3/8/2015","","2012","Kramer Vineyards Pinot Noir Rebecca's Reserve","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Rebecca's Reserve","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2048874","63168828","Cellar","A06","750ml","35.54","35.7","Winery","3/8/2015","","2012","Kramer Vineyards Pinot Noir Rebecca's Reserve","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Rebecca's Reserve","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1960393","59487417","Cellar","A07","750ml","38","34","Winery","11/2/2014","","2012","Kramer Vineyards Pinot Noir Cardiac Hill","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Cardiac Hill","","","","","","","","","","","","","","","","","","","","","","","","","","","2016","2019"
